time,temperature_2m,wind_speed_10m,shortwave_radiation
2020-01-01 00:00:00,1.5,11.4,0.0
2020-01-01 01:00:00,2.0,10.3,0.0
2020-01-01 02:00:00,1.8,11.2,0.0
2020-01-01 03:00:00,1.1,10.1,0.0
2020-01-01 04:00:00,0.3,9.4,0.0
2020-01-01 05:00:00,-0.1,9.4,0.0
2020-01-01 06:00:00,-0.3,10.5,0.0
2020-01-01 07:00:00,-0.6,9.5,0.0
2020-01-01 08:00:00,-1.1,7.7,0.0
2020-01-01 09:00:00,-0.5,9.4,11.0
2020-01-01 10:00:00,1.1,11.2,70.0
2020-01-01 11:00:00,2.5,8.2,112.0
2020-01-01 12:00:00,3.5,8.9,139.0
2020-01-01 13:00:00,4.0,11.5,159.0
2020-01-01 14:00:00,4.0,12.3,130.0
2020-01-01 15:00:00,3.5,9.2,91.0
2020-01-01 16:00:00,2.0,8.2,25.0
2020-01-01 17:00:00,0.7,7.7,0.0
2020-01-01 18:00:00,0.2,8.1,0.0
2020-01-01 19:00:00,0.1,9.9,0.0
2020-01-01 20:00:00,-0.4,10.2,0.0
2020-01-01 21:00:00,-0.6,10.9,0.0
2020-01-01 22:00:00,-0.9,10.0,0.0
2020-01-01 23:00:00,-2.2,8.4,0.0
2020-01-02 00:00:00,-3.0,9.2,0.0
2020-01-02 01:00:00,-1.8,7.8,0.0
2020-01-02 02:00:00,-3.2,8.7,0.0
2020-01-02 03:00:00,-3.5,8.4,0.0
2020-01-02 04:00:00,-3.2,7.0,0.0
2020-01-02 05:00:00,-2.5,9.9,0.0
2020-01-02 06:00:00,-2.5,9.4,0.0
2020-01-02 07:00:00,-3.8,8.9,0.0
2020-01-02 08:00:00,-3.3,7.0,0.0
2020-01-02 09:00:00,-2.2,8.4,12.0
2020-01-02 10:00:00,0.1,12.0,89.0
2020-01-02 11:00:00,2.3,12.1,169.0
2020-01-02 12:00:00,4.0,12.0,219.0
2020-01-02 13:00:00,4.9,13.8,226.0
2020-01-02 14:00:00,5.2,14.0,189.0
2020-01-02 15:00:00,3.8,10.5,118.0
2020-01-02 16:00:00,1.1,10.3,32.0
2020-01-02 17:00:00,0.6,11.3,0.0
2020-01-02 18:00:00,0.2,11.5,0.0
2020-01-02 19:00:00,-0.3,13.1,0.0
2020-01-02 20:00:00,-1.0,12.4,0.0
2020-01-02 21:00:00,-1.3,11.8,0.0
2020-01-02 22:00:00,-1.4,12.0,0.0
2020-01-02 23:00:00,-1.5,10.5,0.0
2020-01-03 00:00:00,-0.6,12.4,0.0
2020-01-03 01:00:00,1.0,14.7,0.0
2020-01-03 02:00:00,2.2,17.3,0.0
2020-01-03 03:00:00,2.1,17.9,0.0
2020-01-03 04:00:00,2.0,18.1,0.0
2020-01-03 05:00:00,1.9,18.0,0.0
2020-01-03 06:00:00,1.9,18.3,0.0
2020-01-03 07:00:00,2.4,18.9,0.0
2020-01-03 08:00:00,3.2,19.9,0.0
2020-01-03 09:00:00,4.1,21.3,6.0
2020-01-03 10:00:00,4.8,21.7,39.0
2020-01-03 11:00:00,5.5,20.1,49.0
2020-01-03 12:00:00,6.2,21.4,46.0
2020-01-03 13:00:00,5.5,20.2,49.0
2020-01-03 14:00:00,5.9,20.9,33.0
2020-01-03 15:00:00,6.2,20.4,22.0
2020-01-03 16:00:00,6.2,20.6,4.0
2020-01-03 17:00:00,6.2,20.2,0.0
2020-01-03 18:00:00,6.2,21.2,0.0
2020-01-03 19:00:00,6.2,21.9,0.0
2020-01-03 20:00:00,6.3,22.6,0.0
2020-01-03 21:00:00,6.3,22.7,0.0
2020-01-03 22:00:00,6.3,22.1,0.0
2020-01-03 23:00:00,6.2,23.2,0.0
2020-01-04 00:00:00,5.0,20.9,0.0
2020-01-04 01:00:00,4.6,20.4,0.0
2020-01-04 02:00:00,3.8,20.4,0.0
2020-01-04 03:00:00,3.4,20.9,0.0
2020-01-04 04:00:00,3.3,22.3,0.0
2020-01-04 05:00:00,3.1,22.7,0.0
2020-01-04 06:00:00,3.2,22.1,0.0
2020-01-04 07:00:00,3.2,23.8,0.0
2020-01-04 08:00:00,3.5,25.2,0.0
2020-01-04 09:00:00,4.1,26.0,4.0
2020-01-04 10:00:00,4.5,27.2,20.0
2020-01-04 11:00:00,4.6,29.3,18.0
2020-01-04 12:00:00,4.5,32.2,17.0
2020-01-04 13:00:00,5.2,31.2,17.0
2020-01-04 14:00:00,5.2,32.0,47.0
2020-01-04 15:00:00,5.2,32.6,16.0
2020-01-04 16:00:00,4.8,27.4,8.0
2020-01-04 17:00:00,3.9,25.4,0.0
2020-01-04 18:00:00,3.2,25.4,0.0
2020-01-04 19:00:00,2.9,25.5,0.0
2020-01-04 20:00:00,2.8,25.5,0.0
2020-01-04 21:00:00,2.6,23.1,0.0
2020-01-04 22:00:00,2.1,20.7,0.0
2020-01-04 23:00:00,1.4,19.2,0.0
2020-01-05 00:00:00,0.9,19.6,0.0
2020-01-05 01:00:00,1.0,18.7,0.0
2020-01-05 02:00:00,0.5,17.2,0.0
2020-01-05 03:00:00,0.1,16.3,0.0
2020-01-05 04:00:00,-0.2,16.4,0.0
2020-01-05 05:00:00,-0.6,15.5,0.0
2020-01-05 06:00:00,-1.0,12.7,0.0
2020-01-05 07:00:00,-1.5,11.6,0.0
2020-01-05 08:00:00,-1.9,10.2,0.0
2020-01-05 09:00:00,-1.7,9.5,13.0
2020-01-05 10:00:00,-0.2,10.9,91.0
2020-01-05 11:00:00,1.3,8.7,157.0
2020-01-05 12:00:00,2.3,10.5,187.0
2020-01-05 13:00:00,3.4,10.1,185.0
2020-01-05 14:00:00,3.7,8.2,119.0
2020-01-05 15:00:00,3.4,8.4,100.0
2020-01-05 16:00:00,1.7,8.7,31.0
2020-01-05 17:00:00,1.3,10.0,0.0
2020-01-05 18:00:00,1.1,10.2,0.0
2020-01-05 19:00:00,1.8,10.2,0.0
2020-01-05 20:00:00,2.5,11.1,0.0
2020-01-05 21:00:00,2.8,12.5,0.0
2020-01-05 22:00:00,2.7,12.9,0.0
2020-01-05 23:00:00,3.0,13.8,0.0
2020-01-06 00:00:00,3.3,13.4,0.0
2020-01-06 01:00:00,3.3,14.0,0.0
2020-01-06 02:00:00,3.5,15.8,0.0
2020-01-06 03:00:00,3.3,15.9,0.0
