,Load_MW,temperature_2m,wind_speed_10m,shortwave_radiation
2020-01-01 00:00:00,43471.87,1.5,11.4,0.0
2020-01-01 01:00:00,42401.86,2.0,10.3,0.0
2020-01-01 02:00:00,41126.54,1.8,11.2,0.0
2020-01-01 03:00:00,40793.28,1.1,10.1,0.0
2020-01-01 04:00:00,40710.44,0.3,9.4,0.0
2020-01-01 05:00:00,39453.36,-0.1,9.4,0.0
2020-01-01 06:00:00,39703.11,-0.3,10.5,0.0
2020-01-01 07:00:00,40248.35,-0.6,9.5,0.0
2020-01-01 08:00:00,41867.45,-1.1,7.7,0.0
2020-01-01 09:00:00,44348.8,-0.5,9.4,11.0
2020-01-01 10:00:00,46484.05,1.1,11.2,70.0
2020-01-01 11:00:00,48341.32,2.5,8.2,112.0
2020-01-01 12:00:00,48470.07,3.5,8.9,139.0
2020-01-01 13:00:00,47144.79,4.0,11.5,159.0
2020-01-01 14:00:00,46653.69,4.0,12.3,130.0
2020-01-01 15:00:00,47826.3,3.5,9.2,91.0
2020-01-01 16:00:00,52883.7,2.0,8.2,25.0
2020-01-01 17:00:00,54615.74,0.7,7.7,0.0
2020-01-01 18:00:00,53987.01,0.2,8.1,0.0
2020-01-01 19:00:00,51937.71,0.1,9.9,0.0
2020-01-01 20:00:00,49953.53,-0.4,10.2,0.0
2020-01-01 21:00:00,49666.26,-0.6,10.9,0.0
2020-01-01 22:00:00,46852.01,-0.9,10.0,0.0
2020-01-01 23:00:00,44817.14,-2.2,8.4,0.0
2020-01-02 00:00:00,43356.13,-3.0,9.2,0.0
2020-01-02 01:00:00,42529.32,-1.8,7.8,0.0
2020-01-02 02:00:00,42466.15,-3.2,8.7,0.0
2020-01-02 03:00:00,42966.15,-3.5,8.4,0.0
2020-01-02 04:00:00,45014.63,-3.2,7.0,0.0
2020-01-02 05:00:00,48320.04,-2.5,9.9,0.0
2020-01-02 06:00:00,53783.83,-2.5,9.4,0.0
2020-01-02 07:00:00,58069.33,-3.8,8.9,0.0
2020-01-02 08:00:00,60300.97,-3.3,7.0,0.0
2020-01-02 09:00:00,61475.42,-2.2,8.4,12.0
2020-01-02 10:00:00,62269.6,0.1,12.0,89.0
2020-01-02 11:00:00,63043.06,2.3,12.1,169.0
2020-01-02 12:00:00,62430.9,4.0,12.0,219.0
2020-01-02 13:00:00,61204.46,4.9,13.8,226.0
2020-01-02 14:00:00,61019.59,5.2,14.0,189.0
2020-01-02 15:00:00,61745.64,3.8,10.5,118.0
2020-01-02 16:00:00,65389.8,1.1,10.3,32.0
2020-01-02 17:00:00,66213.93,0.6,11.3,0.0
2020-01-02 18:00:00,65336.52,0.2,11.5,0.0
